,location,total_sqft,bath,price,bhk
0,"4K Chowrangi, Karachi, Sindh ",2790,4,198,4
1,"4K Chowrangi, Karachi, Sindh ",3500,3,198,3
6,"4K Chowrangi, Karachi, Sindh ",2987.5,5,191,4
11,"4K Chowrangi, Karachi, Sindh ",1280,4,115,4
15,"4K Chowrangi, Karachi, Sindh ",1678,3,125,3
17,"4K Chowrangi, Karachi, Sindh ",1999,3,135,3
19,"4K Chowrangi, Karachi, Sindh ",1200,3,85,3
21,"4K Chowrangi, Karachi, Sindh ",1655,3,155,3
23,"4K Chowrangi, Karachi, Sindh ",1200,2,75,2
24,"4K Chowrangi, Karachi, Sindh ",1200,5,92,4
25,"4K Chowrangi, Karachi, Sindh ",1893,3,130,3
28,"4K Chowrangi, Karachi, Sindh ",4000,3,235,3
29,"4K Chowrangi, Karachi, Sindh ",1541,3,80,3
30,"4K Chowrangi, Karachi, Sindh ",1830,3,101,3
34,"4K Chowrangi, Karachi, Sindh ",1290,2,80,2
42,"4K Chowrangi, Karachi, Sindh ",1900,3,150,3
46,"4K Chowrangi, Karachi, Sindh ",416,1,19.5,1
47,"4K Chowrangi, Karachi, Sindh ",1394,2,100,2
48,"4K Chowrangi, Karachi, Sindh ",2138,3,110,3
49,"4K Chowrangi, Karachi, Sindh ",1300,3,80,3
50,"4K Chowrangi, Karachi, Sindh ",1265,2,82,2
55,"4K Chowrangi, Karachi, Sindh ",1600,4,112,4
57,"4K Chowrangi, Karachi, Sindh ",1654,2,85,3
59,"4K Chowrangi, Karachi, Sindh ",1700,3,95,3
60,"4K Chowrangi, Karachi, Sindh ",910.2,2,80.64,2
62,"4K Chowrangi, Karachi, Sindh ",4960,4,400,4
63,"4K Chowrangi, Karachi, Sindh ",2254,3,170,3
65,"4K Chowrangi, Karachi, Sindh ",2462,6,150,4
66,"4K Chowrangi, Karachi, Sindh ",615,1,44,1
69,"4K Chowrangi, Karachi, Sindh ",1758,3,95,3
71,"4K Chowrangi, Karachi, Sindh ",2928,4,198,4
74,"4K Chowrangi, Karachi, Sindh ",1645,2,82,3
79,"4K Chowrangi, Karachi, Sindh ",1200,3,85,2
80,"4K Chowrangi, Karachi, Sindh ",1080,2,73,2
83,"4K Chowrangi, Karachi, Sindh ",1932,4,135,3
84,"4K Chowrangi, Karachi, Sindh ",1156,2,72,2
87,"4K Chowrangi, Karachi, Sindh ",1917,4,113,3
88,"4K Chowrangi, Karachi, Sindh ",655,1,53,1
89,"4K Chowrangi, Karachi, Sindh ",1800,3,140,3
91,"4K Chowrangi, Karachi, Sindh ",1785,3,118,3
92,"4K Chowrangi, Karachi, Sindh ",4000,7,130,7
93,"4K Chowrangi, Karachi, Sindh ",1645,3,120,3
96,"4K Chowrangi, Karachi, Sindh ",662,1,42,1
99,"4K Chowrangi, Karachi, Sindh ",1525,2,87,3
101,"4K Chowrangi, Karachi, Sindh ",1255,2,90,3
102,"4K Chowrangi, Karachi, Sindh ",1560,3,120,3
103,"4K Chowrangi, Karachi, Sindh ",2100,3,110,3
104,"4K Chowrangi, Karachi, Sindh ",1620,2,85,3
105,"4K Chowrangi, Karachi, Sindh ",1595,3,90,3
109,"4K Chowrangi, Karachi, Sindh ",1418,2,106,2
110,"4K Chowrangi, Karachi, Sindh ",2700,5,175,3
112,"4K Chowrangi, Karachi, Sindh ",755,1,42.41,1
113,"4K Chowrangi, Karachi, Sindh ",1645,3,117,3
114,"4K Chowrangi, Karachi, Sindh ",2400,3,190,3
115,"4K Chowrangi, Karachi, Sindh ",3900,4,333,4
116,"4K Chowrangi, Karachi, Sindh ",2400,4,200,3
118,"4K Chowrangi, Karachi, Sindh ",1725,3,110,3
122,"4K Chowrangi, Karachi, Sindh ",640,1,20.5,1
